YBR126C	YMR251W
YBR126C	YMR261C
YBR126C	YNL076W
YBR126C	YNL244C
YBR126C	YOL133W
YBR126C	YOR089C
YBR126C	YPR035W
YBR127C	YDL185W
YBR127C	YHR039CA
YBR127C	YJR033C
YBR127C	YKL080W
YBR127C	YLR447C
YBR128C	YDL185W
YBR128C	YPL120W
YBR129C	YDL059C
YBR130C	YBR143C
YBR130C	YGL106W
YBR130C	YKL130C
YBR130C	YLR092W
YBR133C	YJL187C
YBR135W	YBR160W
YBR135W	YBR295W
YBR135W	YDL155W
YBR135W	YDR170WA
YBR135W	YEL034W
YBR135W	YER138C
YBR135W	YKR091W
YBR135W	YLR079W
YBR135W	YLR226W
YBR135W	YMR199W
YBR135W	YOR080W
YBR135W	YPL014W
YBR135W	YPL256C
YBR135W	YPR119W
YBR135W	YPR120C
YBR136W	YBR143C
YBR136W	YDR097C
YBR136W	YGL245W
YBR136W	YKL085W
YBR136W	YLR304C
YBR136W	YMR012W
YBR136W	YOR027W
YBR139W	YBR280C
YBR140C	YMR139W
YBR140C	YNL098C
YBR142W	YDR060W
YBR142W	YDR170C
YBR142W	YDR496C
YBR142W	YGL111W
YBR142W	YGL195W
YBR142W	YHR052W
YBR142W	YHR066W
YBR142W	YJL005W
YBR142W	YKL014C
YBR142W	YLR398C
YBR142W	YMR012W
YBR142W	YMR049C
YBR142W	YMR163C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YOR272W
YBR142W	YPL043W
YBR142W	YPL093W
YBR143C	YDL058W
YBR143C	YDR172W
YBR143C	YER110C
YBR143C	YER161C
YBR143C	YHL030W
YBR143C	YIL129C
YBR143C	YJL017W
YBR143C	YLR371W
YBR143C	YLR386W
YBR143C	YLR429W
YBR143C	YMR012W
YBR143C	YPL083C
YBR143C	YPR010C
YBR145W	YDR499W
YBR146W	YBR251W
YBR146W	YDR036C
YBR146W	YHL004W
YBR150C	YPR110C
YBR152W	YDL030W
YBR152W	YDL043C
YBR152W	YDL098C
YBR152W	YDR473C
YBR152W	YER029C
YBR152W	YGR075C
YBR152W	YGR091W
YBR152W	YIR009W
YBR152W	YJL203W
YBR152W	YKL173W
YBR152W	YML049C
YBR152W	YMR240C
YBR152W	YMR288W
YBR152W	YOR308C
YBR152W	YPL213W
YBR152W	YPR178W
YBR154C	YDR404C
YBR154C	YER125W
YBR154C	YGL070C
YBR154C	YIL021W
YBR154C	YJR063W
YBR154C	YKL144C
YBR154C	YNR003C
YBR154C	YOR116C
YBR154C	YOR341W
YBR154C	YPR110C
YBR155W	YEL030W
YBR155W	YGR187C
YBR155W	YGR234W
YBR155W	YLR355C
YBR158W	YGR163W
YBR158W	YGR285C
YBR158W	YHR064C
YBR160W	YDR212W
YBR160W	YFR015C
YBR160W	YFR030W
YBR160W	YGL003C
YBR160W	YHR027C
YBR160W	YIL131C
YBR160W	YIR031C
YBR160W	YMR012W
YBR160W	YMR199W
YBR160W	YPL256C
YBR160W	YPR119W
YBR162C	YDR238C
YBR162C	YER086W
YBR162C	YMR214W
YBR162C	YNL287W
YBR166C	YBR217W
YBR167C	YBR257W
YBR167C	YGR030C
YBR167C	YHR062C
YBR167C	YNL221C
YBR167C	YNL282W
YBR169C	YDL005C
YBR169C	YGL206C
YBR169C	YKL139W
YBR169C	YNL127W
YBR170C	YDL126C
YBR170C	YDL190C
YBR170C	YGR048W
YBR170C	YLR044C
YBR171W	YLR292C
YBR171W	YOR254C
YBR171W	YPL094C
YBR175W	YDR138W
YBR175W	YHR027C
YBR175W	YHR064C
YBR175W	YHR119W
YBR175W	YLR015W
YBR175W	YLR403W
YBR175W	YMR190C
YBR175W	YOL045W
YBR175W	YPL029W
YBR175W	YPL138C
YBR179C	YDR142C
YBR184W	YER171W
YBR187W	YGL137W
